"HealthTopic","Population","Distribution","Unit","Time","RegionCode","RegionName","CategoryIndex","Category","Value"
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","CZ","Czechia",2,"5-14",0.407098160
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","CZ","Czechia",3,"15-24",0.301387510
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","CZ","Czechia",4,"25-44",0.127828810
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","CZ","Czechia",5,"45-64",0.351982660
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","CZ","Czechia",6,"65+",0.134948030
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","DE","Germany",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","DE","Germany",2,"5-14",0.025197730
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","DE","Germany",3,"15-24",0.197697670
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","DE","Germany",4,"25-44",0.300184640
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","DE","Germany",5,"45-64",0.217143860
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","DE","Germany",6,"65+",0.165651390
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","DK","Denmark",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","DK","Denmark",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","DK","Denmark",3,"15-24",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","DK","Denmark",4,"25-44",0.263955660
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","DK","Denmark",5,"45-64",0.273279290
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","DK","Denmark",6,"65+",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EE","Estonia",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EE","Estonia",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EE","Estonia",3,"15-24",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EE","Estonia",4,"25-44",0.268766620
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EE","Estonia",5,"45-64",0.292431860
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EE","Estonia",6,"65+",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EL","Greece",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EL","Greece",2,"5-14",0.091434750
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EL","Greece",3,"15-24",0.073941410
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EL","Greece",4,"25-44",0.119852980
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EL","Greece",5,"45-64",0.187438820
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EL","Greece",6,"65+",0.097505460
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","ES","Spain",1,"0-4",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","ES","Spain",2,"5-14",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","ES","Spain",3,"15-24",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","ES","Spain",4,"25-44",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","ES","Spain",5,"45-64",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","ES","Spain",6,"65+",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EU27_21","EU (without UK)",1,"0-4",0.007677000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EU27_21","EU (without UK)",2,"5-14",0.042947000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EU27_21","EU (without UK)",3,"15-24",0.119761000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EU27_21","EU (without UK)",4,"25-44",0.198252000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EU27_21","EU (without UK)",5,"45-64",0.208399000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EU27_21","EU (without UK)",6,"65+",0.132156000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",1,"0-4",0.006032000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",2,"5-14",0.042534000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",3,"15-24",0.118307000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",4,"25-44",0.194760000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",5,"45-64",0.207730000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EU27_UK_21","EU (with UK until 2019)",6,"65+",0.120272000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",1,"0-4",0.007677000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",2,"5-14",0.042947000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",3,"15-24",0.119761000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",4,"25-44",0.198252000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",5,"45-64",0.208399000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EUEEA30_21","EU/EEA (without UK)",6,"65+",0.132156000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",1,"0-4",0.006032000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",2,"5-14",0.042534000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",3,"15-24",0.118307000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",4,"25-44",0.194760000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",5,"45-64",0.207730000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",6,"65+",0.120272000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","FI","Finland",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","FI","Finland",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","FI","Finland",3,"15-24",0.152125720
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","FI","Finland",4,"25-44",0.073583730
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","FI","Finland",5,"45-64",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","FI","Finland",6,"65+",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","HU","Hungary",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","HU","Hungary",2,"5-14",0.095465570
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","HU","Hungary",3,"15-24",0.077761940
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","HU","Hungary",4,"25-44",0.442868740
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","HU","Hungary",5,"45-64",0.479704260
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","HU","Hungary",6,"65+",0.186902140
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","IE","Ireland",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","IE","Ireland",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","IE","Ireland",3,"15-24",0.456646020
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","IE","Ireland",4,"25-44",0.791812940
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","IE","Ireland",5,"45-64",0.740209660
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","IE","Ireland",6,"65+",0.213284190
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","IT","Italy",1,"0-4",0.036144260
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","IT","Italy",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","IT","Italy",3,"15-24",0.033727840
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","IT","Italy",4,"25-44",0.068418060
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","IT","Italy",5,"45-64",0.099689950
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","IT","Italy",6,"65+",0.127816780
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LT","Lithuania",1,"0-4",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LT","Lithuania",2,"5-14",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LT","Lithuania",3,"15-24",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LT","Lithuania",4,"25-44",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LT","Lithuania",5,"45-64",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LT","Lithuania",6,"65+",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LU","Luxembourg",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LU","Luxembourg",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LU","Luxembourg",3,"15-24",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LU","Luxembourg",4,"25-44",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LU","Luxembourg",5,"45-64",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LU","Luxembourg",6,"65+",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LV","Latvia",1,"0-4",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LV","Latvia",2,"5-14",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LV","Latvia",3,"15-24",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LV","Latvia",4,"25-44",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LV","Latvia",5,"45-64",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","LV","Latvia",6,"65+",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","MT","Malta",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","MT","Malta",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","MT","Malta",3,"15-24",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","MT","Malta",4,"25-44",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","MT","Malta",5,"45-64",0.870223560
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","MT","Malta",6,"65+",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","NL","Netherlands",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","NL","Netherlands",2,"5-14",0.050207500
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","NL","Netherlands",3,"15-24",0.254514700
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","NL","Netherlands",4,"25-44",0.300240720
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","NL","Netherlands",5,"45-64",0.363340980
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","NL","Netherlands",6,"65+",0.042223450
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","PL","Poland",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","PL","Poland",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","PL","Poland",3,"15-24",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","PL","Poland",4,"25-44",0.018494000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","PL","Poland",5,"45-64",0.039611290
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","PL","Poland",6,"65+",0.019544570
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","PT","Portugal",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","PT","Portugal",2,"5-14",0.089743800
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","PT","Portugal",3,"15-24",0.242357850
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","PT","Portugal",4,"25-44",0.380708240
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","PT","Portugal",5,"45-64",0.606505830
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","PT","Portugal",6,"65+",0.324731730
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","RO","Romania",1,"0-4",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","RO","Romania",2,"5-14",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","RO","Romania",3,"15-24",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","RO","Romania",4,"25-44",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","RO","Romania",5,"45-64",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","RO","Romania",6,"65+",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SE","Sweden",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SE","Sweden",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SE","Sweden",3,"15-24",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SE","Sweden",4,"25-44",0.041025840
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SE","Sweden",5,"45-64",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SE","Sweden",6,"65+",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SI","Slovenia",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SI","Slovenia",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SI","Slovenia",3,"15-24",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SI","Slovenia",4,"25-44",0.495038060
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SI","Slovenia",5,"45-64",0.547073880
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SI","Slovenia",6,"65+",0.312860760
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SK","Slovakia",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SK","Slovakia",2,"5-14",0.328344680
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SK","Slovakia",3,"15-24",0.119690810
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SK","Slovakia",4,"25-44",0.243590960
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SK","Slovakia",5,"45-64",0.434858230
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","SK","Slovakia",6,"65+",0.622225260
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","UK","United Kingdom",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","UK","United Kingdom",2,"5-14",0.040956270
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","UK","United Kingdom",3,"15-24",0.112252140
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","UK","United Kingdom",4,"25-44",0.178900680
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","UK","United Kingdom",5,"45-64",0.204594240
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","UK","United Kingdom",6,"65+",0.061864190
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","AT","Austria",1,"0-4",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","AT","Austria",2,"5-14",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","AT","Austria",3,"15-24",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","AT","Austria",4,"25-44",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","AT","Austria",5,"45-64",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","AT","Austria",6,"65+",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","BE","Belgium",1,"0-4",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","BE","Belgium",2,"5-14",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","BE","Belgium",3,"15-24",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","BE","Belgium",4,"25-44",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","BE","Belgium",5,"45-64",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","BE","Belgium",6,"65+",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","BG","Bulgaria",1,"0-4",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","BG","Bulgaria",2,"5-14",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","BG","Bulgaria",3,"15-24",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","BG","Bulgaria",4,"25-44",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","BG","Bulgaria",5,"45-64",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","BG","Bulgaria",6,"65+",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","CY","Cyprus",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","CY","Cyprus",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","CY","Cyprus",3,"15-24",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","CY","Cyprus",4,"25-44",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","CY","Cyprus",5,"45-64",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","CY","Cyprus",6,"65+",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","CZ","Czechia",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","CZ","Czechia",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","CZ","Czechia",3,"15-24",0.075410620
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","CZ","Czechia",4,"25-44",0.094349790
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","CZ","Czechia",5,"45-64",0.350573970
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","CZ","Czechia",6,"65+",0.198330970
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","DE","Germany",1,"0-4",0.028826380
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","DE","Germany",2,"5-14",0.012799750
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","DE","Germany",3,"15-24",0.073696120
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","DE","Germany",4,"25-44",0.104818930
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","DE","Germany",5,"45-64",0.118062110
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","DE","Germany",6,"65+",0.042376100
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","DK","Denmark",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","DK","Denmark",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","DK","Denmark",3,"15-24",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","DK","Denmark",4,"25-44",0.199573310
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","DK","Denmark",5,"45-64",0.339774090
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","DK","Denmark",6,"65+",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EE","Estonia",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EE","Estonia",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EE","Estonia",3,"15-24",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EE","Estonia",4,"25-44",0.270482260
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EE","Estonia",5,"45-64",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EE","Estonia",6,"65+",0.427972260
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EL","Greece",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EL","Greece",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EL","Greece",3,"15-24",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EL","Greece",4,"25-44",0.119466740
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EL","Greece",5,"45-64",0.220906600
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EL","Greece",6,"65+",0.096883170
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","ES","Spain",1,"0-4",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","ES","Spain",2,"5-14",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","ES","Spain",3,"15-24",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","ES","Spain",4,"25-44",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","ES","Spain",5,"45-64",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","ES","Spain",6,"65+",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EU27_21","EU (without UK)",1,"0-4",0.007578000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EU27_21","EU (without UK)",2,"5-14",0.025214000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EU27_21","EU (without UK)",3,"15-24",0.101578000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EU27_21","EU (without UK)",4,"25-44",0.117681000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EU27_21","EU (without UK)",5,"45-64",0.161096000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EU27_21","EU (without UK)",6,"65+",0.078090000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",1,"0-4",0.005933000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",2,"5-14",0.028557000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",3,"15-24",0.117845000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",4,"25-44",0.126598000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",5,"45-64",0.161325000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",6,"65+",0.070109000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",1,"0-4",0.007578000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",2,"5-14",0.025214000
